similarity ratio;mean dissatisfaction
0.9226785714285713;0.04
0.9226785714285713;0.04
0.9125;0.01
0.9303571428571429;0.04
0.9301785714285714;0.04
0.9225;0.04
0.9217857142857143;0.04
0.9266071428571427;0.04
0.9226785714285713;0.04
0.9225;0.04
0.92625;0.04
0.9225;0.04
0.9266071428571427;0.04
0.9248214285714286;0.04
0.9266071428571427;0.04
0.9319642857142857;0.03
0.9264285714285715;0.04
0.926607142857143;0.04
0.9217857142857144;0.04
0.926607142857143;0.04
0.9319642857142858;0.03
0.9266071428571427;0.04
0.93;0.04
0.9230357142857143;0.04
0.9319642857142858;0.04
0.9266071428571427;0.04
0.9319642857142858;0.03
0.92625;0.04
0.9225;0.04
0.931607142857143;0.03
0.9230357142857142;0.04
0.9266071428571427;0.04
0.9316071428571427;0.03
0.93;0.04
0.9217857142857143;0.04
0.9125;0.01
0.9319642857142858;0.03
0.9316071428571427;0.03
0.9317857142857143;0.04
0.9301785714285714;0.04
0.9266071428571427;0.04
0.9230357142857143;0.04
0.9319642857142858;0.03
0.9282142857142859;0.04
0.9285714285714286;0.04
0.9125;0.01
0.93;0.04
0.92625;0.04
0.9316071428571427;0.03
0.9217857142857143;0.04
0.9248214285714286;0.04
0.9226785714285713;0.04
0.9319642857142857;0.03
0.9266071428571427;0.04
0.9230357142857143;0.04
0.9230357142857142;0.04
0.9230357142857142;0.04
0.9230357142857143;0.04
0.926607142857143;0.04
0.9217857142857143;0.04
0.9230357142857143;0.04
0.9226785714285713;0.04
0.931607142857143;0.03
0.93;0.04
0.9248214285714286;0.04
0.9282142857142859;0.04
0.9151785714285714;0.04
0.9319642857142858;0.04
0.92625;0.04
0.9316071428571427;0.03
0.9248214285714286;0.04
0.9316071428571427;0.03
0.9264285714285714;0.04
0.9285714285714286;0.04
0.9319642857142858;0.03
0.9299999999999998;0.04
0.926607142857143;0.04
0.9319642857142858;0.04
0.9285714285714286;0.04
0.9264285714285715;0.04
0.9303571428571428;0.04
0.9319642857142857;0.04
0.82375;0.01
0.9319642857142858;0.03
0.9266071428571427;0.04
0.93;0.04
0.9319642857142857;0.04
0.9316071428571427;0.03
0.9214285714285714;0.04
0.9266071428571427;0.04
0.9173214285714286;0.04
0.9266071428571427;0.04
0.9319642857142857;0.03
0.9264285714285714;0.04
0.9282142857142859;0.04
0.9192857142857145;0.04
0.93;0.04
0.9266071428571427;0.04
0.9303571428571429;0.04
0.9316071428571427;0.03
0.9319642857142858;0.03
