vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial A;mean interratial pears inicial B;mean interratial pears inicial        ;similarity ratio final;mean dissatisfaction final;mean interratial pears final A;mean interratial pears final B;mean interratial pears final;number of iterations
0.01;0.49719416386083054;0.3602693602693603;0.5022675736961452;0.5019830028328612;1.0042505765290064;0.5196408529741863;0.3153759820426487;0.4759018759018759;0.4756273435246611;0.951529219426537;25
0.01;0.494949494949495;0.3838383838383838;0.5066780335322535;0.5038146369030799;1.0104926704353334;0.6778900112233446;0.11784511784511785;0.3165945165945166;0.3158652461848546;0.6324597627793712;191
0.01;0.5095398428731762;0.35353535353535354;0.49036281179138325;0.49036281179138325;0.9807256235827665;0.5634118967452301;0.265993265993266;0.4347069065583285;0.4304597701149425;0.8651666766732711;49
0.01;0.4904601571268238;0.3961840628507295;0.5100766392279308;0.5086328898952731;1.0187095291232038;0.5858585858585859;0.24130190796857465;0.40889276373147343;0.406764960971379;0.8156577247028525;88
0.01;0.49382716049382713;0.39730639730639733;0.5062429057888763;0.5050962627406569;1.0113391685295332;0.5140291806958474;0.35353535353535354;0.5016531409678389;0.4624549736769188;0.9641081146447577;36
0.01;0.5061728395061729;0.36475869809203143;0.4927659574468085;0.491928632115548;0.9846945895623564;0.6161616161616161;0.19977553310886645;0.3783314020857474;0.37723859041016755;0.7555699924959149;105
0.01;0.49270482603815935;0.40291806958473625;0.5069503546099291;0.5060889266496743;1.0130392812596034;0.5331088664421998;0.30976430976430974;0.463316002310803;0.4619815668202765;0.9252975691310795;42
0.01;0.5084175084175084;0.36251402918069586;0.49049645390070923;0.4896629849900878;0.980159438890797;0.5667789001122334;0.2558922558922559;0.4300608166811468;0.4268467950560506;0.8569076117371974;55
0.01;0.5061728395061729;0.37373737373737376;0.49291784702549574;0.49347702779353375;0.9863948748190294;0.5230078563411896;0.32996632996632996;0.47267996530789247;0.4710458081244598;0.9437257734323523;20
0.01;0.4882154882154882;0.3894500561167228;0.5123614663256607;0.5094659508335688;1.0218274171592294;0.5398428731762065;0.2940516273849607;0.4560742244128733;0.45344479677140387;0.9095190211842772;53
0.01;0.489337822671156;0.3838383838383838;0.5112247797669792;0.5086231269437377;1.019847906710717;0.49607182940516276;0.36475869809203143;0.5154577883472057;0.4859865470852018;1.0014443354324074;16
0.01;0.494949494949495;0.37373737373737376;0.5048213272830403;0.5042492917847026;1.0090706190677428;0.5353535353535354;0.3041526374859708;0.46071325021745435;0.45832131525814823;0.9190345654756026;44
0.01;0.4904601571268238;0.39730639730639733;0.5102272727272728;0.5079185520361991;1.0181458247634718;0.5409652076318743;0.29292929292929293;0.45713455390874747;0.4529225453498416;0.910057099258589;57
