vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.006022346368715084;0.504617282688708;0.3468;0.7482;0.5444462759211243;0.2736;0.7658;121
0.006022346368715084;0.5014220484180117;0.3592;0.7465;0.5291672461250587;0.3004;0.7574;87
0.006022346368715084;0.4975934815659655;0.3588;0.7436;0.5296439135362082;0.3004;0.758;97
0.006022346368715084;0.4940839627085323;0.3808;0.742;0.5236658256972088;0.3232;0.7507;121
0.006022346368715084;0.500431573340913;0.3672;0.7457;0.5281901050347844;0.3196;0.7572;74
0.006022346368715084;0.5015982387833745;0.3576;0.7467;0.5451481793816599;0.2804;0.7607;149
0.006022346368715084;0.5011791916280453;0.356;0.746;0.563502918318735;0.2576;0.7749;196
0.006022346368715084;0.4967363398856917;0.3688;0.7436;0.5312010540676749;0.3056;0.7543;143
0.006022346368715084;0.48987206305787423;0.3796;0.7407;0.5177520236026814;0.3204;0.7472;108
0.006022346368715084;0.49556253235521797;0.3708;0.7434;0.5343539070644306;0.292;0.7595;115
0.006022346368715084;0.5001172883732244;0.362;0.7454;0.5161958355127909;0.3256;0.7514;52
0.006022346368715084;0.4929863450017562;0.3652;0.7419;0.5082991779428209;0.3364;0.7424;68
0.006022346368715084;0.4960625314087911;0.3808;0.743;0.531070578226529;0.3136;0.7543;123
0.006022346368715084;0.4939363438856862;0.3748;0.7426;0.5439434195023477;0.2816;0.7604;170
0.006022346368715084;0.4861577820068479;0.386;0.7386;0.4955853845554248;0.3668;0.7361;43
0.006022346368715084;0.4844815939093388;0.3888;0.7378;0.523446778663308;0.3176;0.7553;109
0.006022346368715084;0.49295063052599153;0.3592;0.7422;0.5046610883726311;0.33;0.7415;55
0.006022346368715084;0.49861252800700984;0.3588;0.7449;0.5757648065592904;0.238;0.7758;265
0.006022346368715084;0.5004482399589687;0.3476;0.7458;0.5367262864134913;0.2904;0.7576;141
0.006022346368715084;0.5025172853256094;0.3732;0.7469;0.5407077089908627;0.2832;0.7635;134
0.006022346368715084;0.5032220462989667;0.3552;0.7472;0.5287843902150933;0.2988;0.7532;105
0.006022346368715084;0.49505777088186187;0.3696;0.7432;0.5164415490846292;0.3228;0.7513;65
0.006022346368715084;0.4967125307153394;0.3664;0.7441;0.5211763046723983;0.3192;0.7486;95
0.006022346368715084;0.5043982355690924;0.348;0.748;0.5621548241643863;0.254;0.7695;199
0.006022346368715084;0.48716492363057384;0.3912;0.739;0.5209201147503678;0.3232;0.7535;111
0.006022346368715084;0.49433634324282993;0.3756;0.7425;0.5204353540072476;0.3192;0.749;110
0.006022346368715084;0.49590062676706775;0.3684;0.7433;0.5391091391937036;0.2896;0.763;117
0.006022346368715084;0.503407760087233;0.3564;0.7469;0.5186848800406241;0.3192;0.7479;65
0.006022346368715084;0.49905300418827336;0.368;0.7455;0.518497736870948;0.3296;0.7474;86
0.006022346368715084;0.4951387230658191;0.3688;0.7429;0.5203939252391703;0.3212;0.7493;102
0.006022346368715084;0.50062204944182;0.3592;0.7461;0.5121991733916353;0.3332;0.745;60
0.006022346368715084;0.4990434800868003;0.3748;0.7453;0.5376410449186406;0.3044;0.7622;112
0.006022346368715084;0.492929202309579;0.3736;0.7421;0.530882005970681;0.3036;0.7532;136
0.006022346368715084;0.4944387243693883;0.3668;0.7429;0.5084815589355696;0.3388;0.7426;64
0.006022346368715084;0.5054434719201442;0.356;0.748;0.5501315063707539;0.2712;0.7679;126
0.006022346368715084;0.49808633848390743;0.3676;0.7447;0.5708452896510192;0.246;0.7783;214
0.006022346368715084;0.49488634262675935;0.3728;0.7426;0.5143848854203785;0.3272;0.7505;68
0.006022346368715084;0.4835292140000405;0.3832;0.7369;0.49608347940917613;0.3484;0.7407;40
0.006022346368715084;0.49437920055660495;0.3688;0.7425;0.5157325018872747;0.3144;0.7506;73
0.006022346368715084;0.5015149058716674;0.3528;0.7462;0.5504153160913433;0.2608;0.7686;161
0.006022346368715084;0.4879553987195776;0.382;0.7396;0.501335378048884;0.3496;0.7391;61
0.006022346368715084;0.5005649069044041;0.3608;0.746;0.5626843478960976;0.2584;0.77;219
0.006022346368715084;0.4992744324403997;0.3608;0.7453;0.5339720018281849;0.2984;0.7591;82
0.006022346368715084;0.49353634412378145;0.3756;0.7422;0.5277524862520577;0.3076;0.7567;104
0.006022346368715084;0.49876252817665206;0.3672;0.7452;0.510947270111458;0.3436;0.7436;51
0.006022346368715084;0.4920149174609389;0.378;0.7415;0.5120225071888168;0.3332;0.7446;83
0.006022346368715084;0.49967205090312716;0.3648;0.7454;0.5109744130558964;0.3388;0.7441;56
0.006022346368715084;0.49486491375558656;0.3752;0.743;0.540392946957152;0.29;0.7582;161
0.006022346368715084;0.4949744373630132;0.3668;0.7423;0.5161472632328956;0.3236;0.7464;88
0.006022346368715084;0.4972934825362015;0.3656;0.7442;0.6039328671974886;0.1956;0.7942;312


0.011044692737430167;0.48451968652951855;0.3848;0.7343;0.5705171854412024;0.2244;0.7722;264
0.011044692737430167;0.5022363306416504;0.3612;0.7422;0.5407086522895881;0.2932;0.7581;82
0.011044692737430167;0.4994434767415618;0.348;0.7423;0.541151032826626;0.2736;0.7493;159
0.011044692737430167;0.4911125351439003;0.3764;0.7377;0.575267180637042;0.224;0.7753;240
0.011044692737430167;0.49342443709812717;0.3712;0.7385;0.5990981023383003;0.2048;0.7782;354
0.011044692737430167;0.49128872560450093;0.3704;0.7373;0.6842213283379984;0.1268;0.8296;527
0.011044692737430167;0.4884044435893089;0.3764;0.7357;0.5428853178590738;0.2756;0.7504;201
0.011044692737430167;0.494972054147166;0.374;0.7385;0.580091936708499;0.232;0.7692;305
0.011044692737430167;0.49806252607545987;0.3668;0.7406;0.5865033555990904;0.22;0.7798;256
0.011044692737430167;0.4943268168199258;0.3716;0.7395;0.6263433036429642;0.1736;0.7991;390
0.011044692737430167;0.5032910911894131;0.354;0.7429;0.6096704703814221;0.1848;0.7824;356
0.011044692737430167;0.5026982343607569;0.3516;0.7434;0.5870124034559672;0.2248;0.7715;288
0.011044692737430167;0.49823157359090764;0.3748;0.741;0.5886971629645638;0.2168;0.7815;267
0.011044692737430167;0.4945125308581915;0.3776;0.7393;0.566932428888554;0.2468;0.7621;262
0.011044692737430167;0.48357683004312385;0.3888;0.7339;0.7471050545563137;0.0588;0.8586;723
0.011044692737430167;0.49011729767082796;0.3788;0.7364;0.7060760619786542;0.0964;0.8309;656
0.011044692737430167;0.5002529997477981;0.3604;0.7422;0.5613519610932305;0.2528;0.7606;230
0.011044692737430167;0.4894039661089988;0.3688;0.7369;0.5354996114517506;0.2808;0.7551;125
0.011044692737430167;0.490950630847414;0.3796;0.7378;0.56517862045816;0.2488;0.7699;207
0.011044692737430167;0.4872077777419678;0.3764;0.7349;0.8006154666256357;0.0364;0.8792;916
0.011044692737430167;0.48973634637377345;0.3844;0.7366;0.529583428907646;0.3012;0.7522;110
0.011044692737430167;0.5001482382744411;0.3564;0.7425;0.5486872142255703;0.2772;0.7519;172
0.011044692737430167;0.5081482278696928;0.3564;0.7457;0.587732404014774;0.2248;0.7814;231
0.011044692737430167;0.48462968600059103;0.3864;0.7341;0.6097823735697737;0.1888;0.7917;382
0.011044692737430167;0.4869625404623458;0.3836;0.7357;0.540144368933208;0.286;0.7492;204
0.011044692737430167;0.49566014844294387;0.3536;0.7402;0.585060026390315;0.21;0.7713;307
0.011044692737430167;0.48921491856807514;0.3864;0.7369;0.5713409938615547;0.244;0.7729;228
0.011044692737430167;0.49196253395044975;0.3768;0.738;0.6294299691240008;0.1696;0.7929;466
0.011044692737430167;0.4940877695248344;0.3728;0.7389;0.5493310223940169;0.2732;0.7619;145
0.011044692737430167;0.49433634067139953;0.3652;0.739;0.6370609103990439;0.16;0.8059;417
0.011044692737430167;0.4901911077548681;0.38;0.737;0.8531654101203543;0.0;0.9156;1087
0.011044692737430167;0.49122682083777774;0.3856;0.7382;0.5748348009329782;0.2424;0.7746;236
0.011044692737430167;0.4971053846630427;0.3644;0.7403;0.6826641880577222;0.1112;0.8195;612
0.011044692737430167;0.5014653791906685;0.352;0.7426;0.5989781027552834;0.2036;0.7775;332
0.011044692737430167;0.4896792036815963;0.3792;0.7366;0.58472954839838;0.2208;0.7804;270
0.011044692737430167;0.4960720531769283;0.3704;0.7409;0.5083406006521672;0.3344;0.7345;70
0.011044692737430167;0.5000501430992597;0.3604;0.7421;0.5499529279669315;0.2768;0.7551;196
0.011044692737430167;0.4851363519451954;0.3844;0.7342;0.7745559747949553;0.0524;0.8641;856
0.011044692737430167;0.49453634054044726;0.3712;0.7387;0.6031666684853493;0.2064;0.7794;363
0.011044692737430167;0.49258396190495696;0.3736;0.7382;0.5554500625981668;0.2592;0.7562;221
0.011044692737430167;0.5003506186212396;0.3612;0.743;0.8006354661165896;0.0348;0.8782;880
0.011044692737430167;0.4934082468937152;0.3724;0.7391;0.5402481772459403;0.286;0.7575;133
0.011044692737430167;0.49812919289291957;0.3576;0.7411;0.5780557490250371;0.2292;0.7678;284
0.011044692737430167;0.48807444378561865;0.3724;0.7361;0.5333162814007553;0.2868;0.7449;165
0.011044692737430167;0.4917434864260733;0.3748;0.7376;0.7448479177831778;0.0636;0.8495;767
0.011044692737430167;0.4996101434221169;0.3708;0.742;0.5577033932061856;0.264;0.7575;212
0.011044692737430167;0.4941601502703226;0.368;0.7384;0.8010749877491377;0.0328;0.8869;833
0.011044692737430167;0.5036696618063362;0.36;0.7441;0.7151684272615371;0.0916;0.8406;544
0.011044692737430167;0.48498873384853786;0.3916;0.7346;0.5350177075309804;0.2956;0.756;114
0.011044692737430167;0.5013101412137864;0.3544;0.7425;0.5746314650838958;0.2356;0.7738;185
0.011044692737430167;0.48305302136681866;0.3912;0.7333;0.5690819502445529;0.2372;0.7725;265
0.011044692737430167;0.4896982512654966;0.3904;0.7369;0.5586005357350293;0.2648;0.758;254
0.011044692737430167;0.49667443319039356;0.3708;0.7401;0.8054030793042042;0.0232;0.8809;940
0.011044692737430167;0.4953220537215711;0.3704;0.7397;0.5699000441392597;0.2352;0.7715;237
0.011044692737430167;0.49932204849538775;0.3572;0.7414;0.6518542253413668;0.142;0.8124;443
0.011044692737430167;0.4932101511602028;0.3744;0.7383;0.5327343778954579;0.3;0.7449;154
0.011044692737430167;0.4998553814636416;0.3608;0.7424;0.5123644031848312;0.3324;0.7348;72
0.011044692737430167;0.4966863379005695;0.3572;0.7402;0.5740067054683959;0.2276;0.7652;277
0.011044692737430167;0.4835387348753234;0.3932;0.734;0.8531815903319161;0.0;0.9079;974
0.011044692737430167;0.49110301101861786;0.3772;0.7377;0.524661055529807;0.308;0.7414;144
0.011044692737430167;0.49386015015722823;0.3684;0.7383;0.5595629143415892;0.2584;0.7672;161
0.011044692737430167;0.5012839510775894;0.3552;0.7427;0.5512257814486873;0.2672;0.7623;134
0.011044692737430167;0.4846911140584325;0.3936;0.7344;0.546285791013198;0.2828;0.7535;225
0.011044692737430167;0.49623157640042737;0.3692;0.7404;0.6041966686116544;0.1964;0.7891;339
0.011044692737430167;0.48932206113822857;0.3796;0.737;0.6093033266919843;0.1948;0.7917;331
0.011044692737430167;0.4964077663967435;0.3688;0.7405;0.5251643876848495;0.3084;0.7416;108
0.011044692737430167;0.49832205003109936;0.3652;0.7412;0.5955914403234523;0.2036;0.7762;340
0.011044692737430167;0.4961301477273495;0.3604;0.7402;0.6123461813355249;0.1924;0.7936;351
0.011044692737430167;0.4982887168664166;0.3624;0.7412;0.574897656972236;0.2336;0.7659;273
0.011044692737430167;0.49824109747809564;0.3672;0.7417;0.5752776572312803;0.2472;0.7661;252
0.011044692737430167;0.4988863348886688;0.3636;0.7413;0.5771686032375077;0.2356;0.7746;225
0.011044692737430167;0.4908863451624651;0.3716;0.7378;0.5478005477897772;0.272;0.7519;217
0.011044692737430167;0.49914109632928755;0.3616;0.741;0.8678815778997901;0.0;0.9198;1007
0.011044692737430167;0.4930077710395944;0.37;0.7389;0.559358628634259;0.2564;0.7666;183
0.011044692737430167;0.49255586701179827;0.3716;0.738;0.6037190487779771;0.1852;0.7884;337
0.011044692737430167;0.49080110701760715;0.3828;0.7377;0.5265386714277788;0.3148;0.7419;146
0.011044692737430167;0.49521967297596436;0.3744;0.7393;0.561377198304519;0.2668;0.7684;149
0.011044692737430167;0.4971744320892052;0.3588;0.7408;0.5270339096829911;0.2976;0.7426;136
0.011044692737430167;0.5007315703825783;0.3532;0.7417;0.5619481500114527;0.2508;0.7685;166
